     nm       O         O2        N2        He        H
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.15000   0.00020   0.00040   0.00030   0.00000   0.00000
   0.30000   0.00200   0.00400   0.00300   0.00001   0.00000
   0.60000   0.01200   0.02400   0.01500   0.00003   0.00001
   1.20000   0.07000   0.14000   0.09000   0.00046   0.00005
   1.86200   0.31000   0.62000   0.62040   0.00187   0.00019
   1.89700   0.33000   0.66000   0.63240   0.00201   0.00020
   2.16000   0.53000   1.06000   0.72280   0.00287   0.00029
   2.18000   0.54000   1.08000   0.72970   0.00292   0.00029
   2.21000   0.56000   1.12000   0.74000   0.00300   0.00030
   2.84700   0.06400   0.12700   0.95900   0.00522   0.00052
   2.87900   0.06600   0.13100   0.97000   0.00537   0.00054
   2.95200   0.07000   0.13900   0.99500   0.00572   0.00057
   3.00200   0.07300   0.14500   1.01200   0.00598   0.00060
   3.04300   0.07600   0.15000   0.90900   0.00619   0.00062
   3.37400   0.09600   0.19000   0.09600   0.00826   0.00083
   4.09500   0.14000   0.27500   0.15000   0.01547   0.00155
   4.37600   0.15700   0.30900   0.17100   0.01976   0.00198
   4.40200   0.15800   0.31200   0.17300   0.02021   0.00202
   4.41600   0.15900   0.31400   0.17400   0.02046   0.00205
   4.56600   0.18200   0.34100   0.18800   0.02331   0.00233
   4.64000   0.18300   0.35600   0.19600   0.02486   0.00249
   4.66700   0.18300   0.36200   0.19900   0.02545   0.00254
   4.78700   0.18400   0.38800   0.21100   0.02825   0.00282
   4.92200   0.19300   0.41700   0.22500   0.03177   0.00318
   5.05200   0.20500   0.44500   0.23900   0.03465   0.00346
   5.06900   0.20700   0.44900   0.24100   0.03487   0.00349
   5.23000   0.22500   0.48300   0.25800   0.03697   0.00370
   5.29100   0.23100   0.49800   0.26600   0.03780   0.00378
   5.41500   0.24500   0.53000   0.28300   0.03955   0.00395
   5.44200   0.24900   0.53700   0.28700   0.03994   0.00399
   5.50600   0.25800   0.55300   0.29600   0.04088   0.00409
   5.53400   0.26200   0.56000   0.30000   0.04130   0.00413
   5.60800   0.27200   0.57800   0.31000   0.04243   0.00424
   5.69200   0.28400   0.60000   0.32200   0.04374   0.00437
   5.73600   0.29000   0.61100   0.32800   0.04445   0.00445
   5.75600   0.29300   0.61600   0.33100   0.04478   0.00448
   5.78800   0.29700   0.62400   0.33500   0.04530   0.00453
   5.89600   0.31200   0.65100   0.35000   0.04712   0.00471
   5.96200   0.32500   0.66800   0.36000   0.04826   0.00483
   6.03000   0.33800   0.68500   0.36900   0.04947   0.00495
   6.08500   0.34800   0.69900   0.37700   0.05047   0.00505
   6.10700   0.35300   0.70400   0.38000   0.05088   0.00509
   6.16300   0.36400   0.71900   0.38800   0.05193   0.00519
   6.19000   0.36900   0.72500   0.39100   0.05244   0.00524
   6.23000   0.37600   0.73500   0.39700   0.05321   0.00532
   6.23500   0.37700   0.73700   0.39800   0.05331   0.00533
   6.27700   0.38400   0.74700   0.40400   0.05413   0.00541
   6.31600   0.39100   0.75700   0.40900   0.05490   0.00549
   6.33000   0.39400   0.76100   0.41100   0.05518   0.00552
   6.36500   0.40000   0.77000   0.41600   0.05589   0.00559
   6.41100   0.40800   0.78100   0.42200   0.05684   0.00568
   6.46000   0.41700   0.79600   0.42900   0.05786   0.00579
   6.52100   0.42800   0.81800   0.43700   0.05916   0.00592
   6.57100   0.43900   0.83600   0.44300   0.06025   0.00602
   6.58500   0.44200   0.84100   0.44500   0.06055   0.00606
   6.62600   0.45110   0.85560   0.45050   0.06146   0.00615
   6.63000   0.45200   0.85700   0.45100   0.06155   0.00616
   6.63700   0.45360   0.85950   0.45190   0.06171   0.00617
